Data de referência,Prazo médio de repactuação
2017-10-16,1202.109207298081554446960220
2017-10-17,1200.574573897374400374567479
2017-10-18,1199.831057749948229417974606
2017-10-19,1199.019471614615265876237900
2017-10-20,1198.335829326246232370139125
2017-10-23,1195.123262877853147454702367
2017-10-24,1193.718827419906476810275927
2017-10-25,1192.961522158385108518364710
2017-10-26,1190.078782341855648669309985
2017-10-27,1189.780605736196108864214436
2017-10-30,1186.607953697049786260196190
2017-10-31,1185.353450185588885754350869
2017-11-01,1184.035488164660233365324791
2017-11-03,1213.218691882974114771192035
2017-11-06,1209.094540387990905246010374
2017-11-07,1208.626527074999423723249848
2017-11-08,1207.490951223363895153307850
2017-11-09,1207.060453596761771976549005
2017-11-10,1204.809250287233881313035553
2017-11-13,1202.073832057375540710203996
2017-11-14,1200.429802186318482835591991
2017-11-16,1198.689777805092070487204501
2017-11-17,1198.856389531439884993998219
2017-11-20,1196.337627307992705979084351
2017-11-21,1195.471277008445022862739803
2017-11-22,1194.608495136834607621148374
2017-11-23,1195.986396903184029498074184
2017-11-24,1194.343916395371915402962758
2017-11-27,1191.860378678974590376762063
2017-11-28,1190.992876860990560687892674
2017-11-29,1188.824683501316058930640717
2017-11-30,1187.445898054094879484737603
2017-12-01,1186.667775043754869863832018
2017-12-04,1165.230657273580676984656673
2017-12-05,1161.725679262853063121487576
2017-12-06,1160.343695110156424617294444
2017-12-07,1159.158159527806453215092526
2017-12-08,1158.235580448432223672837027
2017-12-11,1155.541657865133201288271889
2017-12-12,1153.586470781092511861803648
2017-12-13,1150.240092272883360773114372
2017-12-14,1149.346650974472504910042024
2017-12-15,1145.298950963490565031227161
2017-12-18,1142.315807917597897413824867
2017-12-19,1141.887281804813977642251215
2017-12-20,1141.353028175270311874031433
2017-12-21,1140.683810991568244866812165
2017-12-22,1139.568052260236947666408038
2017-12-26,1137.410750621406017964052764
2017-12-27,1136.003856071239333531224681
2017-12-28,1135.899090880829208791284342
2017-12-29,1135.151249663395465202610614
2018-01-02,1133.141114575270287710685480
2018-01-03,1173.131136859524352471581879
2018-01-04,1171.877958402838788165089872
2018-01-05,1170.413135951723819695643530
2018-01-08,1168.053846820467277324688428
2018-01-09,1167.002144706123746519205993
2018-01-10,1166.914538553580583357631965
2018-01-11,1166.543801785874253390034181
2018-01-12,1166.634424973455481209874027
2018-01-15,1163.216727982722893688671228
2018-01-16,1161.956525195993989571665748
2018-01-17,1160.761627636628740708262503
2018-01-18,1160.015790297373326881341149
2018-01-19,1159.284181334386408514964431
2018-01-22,1156.429577042963793935048330
2018-01-23,1155.064956925448184410644610
2018-01-24,1155.380173571271631235574527
2018-01-25,1154.610229875712324703024012
2018-01-26,1154.916508548348512647520249
2018-01-29,1151.357954556235224855848061
2018-01-30,1150.386234443918802769614215
2018-01-31,1149.250594919304045968749184
2018-02-01,1148.787189021249409131454960
